instrument_template_code,weight,expiry_date,issuer_code,issuer_type_code
cdb_cdi_generic,0.001520,2027-06-09,banco_btg_pactual_s_a,
cdb_cdi_generic,0.000851,2027-06-21,banco_btg_pactual_s_a,
cdb_cdi_generic,0.000678,2027-07-19,banco_btg_pactual_s_a,
cdb_cdi_generic,0.112448,2028-03-13,banco_btg_pactual_s_a,
cra_cdi_generic,0.022736,2033-09-22,slc_agrcola,
cra_ipca_generic,0.006840,2032-10-15,fs_infraestrutura,
cra_pre_generic,0.006677,2029-10-29,madero,
cra_pre_generic,0.001490,2030-03-15,fs_florestal,
cra_pre_generic,0.019790,2032-02-16,boa_safra,
cra_pre_generic,0.017922,2032-08-16,lar_cooperativa,
cra_pre_generic,0.022449,2032-09-15,eldorado,
cra_pre_generic,0.018031,2035-04-16,minerva,
cri_ipca_generic,0.006754,2029-08-15,oncoclinicas,
cri_ipca_generic,0.007874,2034-12-19,lar_cooperativa,
cri_pre_generic,0.008976,2028-12-15,unidas,
cri_pre_generic,0.006688,2031-01-15,dasa,
debenture_cdi_incentivada,0.002748,2030-10-30,kora_saude_participacoes_sa,
debenture_cdi_regular,0.001643,2026-10-15,magazine_luiza_sa,
debenture_cdi_regular,0.002421,2027-06-03,qualicorp_consultoria_e_corretora_de_seguros_sa,
debenture_ipca_incentivada,0.001715,2029-08-15,triple_play_brasil_participacoes_sa,
debenture_ipca_incentivada,0.001889,2029-12-15,brava_energia_sa,
debenture_ipca_incentivada,0.004769,2030-09-15,ligga_telecomunicacoes_sa,
debenture_ipca_incentivada,0.008686,2042-09-15,aguas_do_rio_1_spe_sa,
equity_azul11,0.000008,,,
equity_azza3,0.037423,,,
equity_bmgb4,0.030285,,,
equity_brav3,0.018087,,,
equity_brkm5,0.001391,,,
equity_cmig4,0.017105,,,
equity_csan3,0.011843,,,
equity_hapv3,0.004473,,,
equity_jall3,0.027194,,,
equity_odpv3,0.018356,,,
equity_recv3,0.020906,,,
equity_sbfg3,0.014376,,,
equity_usim5,0.035638,,,
equity_vale3,0.073276,,,
equity_vveo3,0.024104,,,
fii_brco11,0.025825,,,
fii_btlg11,0.015527,,,
fii_cacr11,0.033327,,,
fii_hsml11,0.034212,,,
fii_irim11,0.014307,,,
fii_mcci11,0.016414,,,
fii_pmll11,0.016649,,,
fii_rbhy11,0.007668,,,
fii_recr11,0.015282,,,
fii_tgar11,0.019900,,,
fii_vghf11,0.026483,,,
fii_vgip11,0.015523,,,
fii_visc11,0.038117,,,
fund_btg_ouro_usd,0.010086,,,
tesouro_ipca_juros_generic,0.085425,2060-08-15,bacenbanco_central_do_brasil_rj,
tesouro_ipca_juros_generic,0.005197,2069-12-15,bacenbanco_central_do_brasil_rj,
