instrument_template_code,weight,expiry_date,issuer_code,issuer_type_code
coe_generic,0.007549,2026-07-10,banco_de_investimentos_credit_suisse_brasil_sa,
coe_generic,0.017879,2026-09-08,banco_j_p_morgan_sa,
coe_generic,0.053987,2026-09-16,banco_xp_sa,
coe_generic,0.042661,2026-10-01,banco_xp_sa,
coe_generic,0.003744,2026-10-29,banco_xp_sa,
coe_generic,0.010530,2026-11-30,banco_xp_sa,
cra_pre_generic,0.012722,2031-03-17,minerva,
cri_cdi_generic,0.006443,2031-05-22,terracap,
cri_ipca_generic,0.008001,2028-10-16,assa_atacadista,
cri_pre_generic,0.011158,2030-10-15,oncoclinicas_ii,
debenture_ipca_incentivada,0.011229,2029-10-15,rumo_sa,
debenture_ipca_incentivada,0.016820,2033-06-15,neoenergia_sa,
debenture_ipca_incentivada,0.030743,2044-09-15,transmissora_alianca_de_energia_eletrica_sa,
debenture_pre_incentivada,0.000080,2099-12-03,concessionaria_rodovias_do_tiete_sa_em_recuperacao_judicial,
equity_bhia3,0.000162,,,
equity_movi3,0.020051,,,
equity_vale3,0.011305,,,
equity_vbbr3,0.016509,,,
fii_bthf11,0.013216,,,
fii_btlg11,0.009780,,,
fii_hglg11,0.007900,,,
fii_hsml11,0.007235,,,
fii_ifra11,0.013746,,,
fii_juro11,0.013999,,,
fii_kivo11,0.010740,,,
fii_mcre11,0.010047,,,
fii_mxrf11,0.007095,,,
fii_rbrx11,0.005799,,,
fii_rzag11,0.015928,,,
fii_xpci11,0.001327,,,
fii_xpml11,0.013372,,,
fund_af_invest_minas_bdr,0.010194,,,
fund_alaska_black_bdr,0.014197,,,
fund_btg_bitcoin_100,0.008328,,,
fund_btg_cdb_plus,0.043381,,,
fund_btg_energy_fip,0.007390,,,
fund_btg_gl_tech,0.002077,,,
fund_btg_incorporacao_fii,0.022153,,,
fund_btg_logcp_fii,0.015010,,,
fund_btg_prime_logistica,0.025726,,,
fund_bv_institucional,0.003695,,,
fund_mapfre_firf,0.003522,,,
fund_rec_one_fii,0.014031,,,
fund_riza_onyx_imob,0.013931,,,
fund_western_cred_bancario,0.033652,,,
fund_whg_rf_dinamico,0.015647,,,
tesouro_ipca_juros_generic,0.029783,2026-08-15,bacenbanco_central_do_brasil_rj,
tesouro_ipca_juros_generic,0.035544,2045-05-15,bacenbanco_central_do_brasil_rj,
tesouro_prefixado_generic,0.032669,2027-01-01,bacenbanco_central_do_brasil_rj,
tesouro_selic_generic,0.257313,2027-03-01,bacenbanco_central_do_brasil_rj,
